cntry,cname,cedition,cproddat,cseqno,name,essround,edition,idno,dweight,pspwght,pweight,happy,sclmeet,inmdisc,inprdsc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzship,ctzshipa,ctzshipb,ctzshipc,brncntr,cntbrth,cntbrtha,cntbrthb,cntbrthc,livecntr,livecnta,lnghoma,lnghom1,lnghomb,lnghom2,blgetmg,facntr,facntn,fbrncnt,fbrncnta,fbrncntb,mocntr,mocntn,mbrncnt,mbrncnta,mbrncntb
AT,ESS1-8e01,1.0,12.12.2018,8750,ESS8e02_1,8,2.1,60,1.944016456604,1.26622927188873,0.370392886,9,6,,1,3,2,2,,,,,,,,,3,2,2,66,2,66,6,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,2,,,,HU
AT,ESS1-8e01,1.0,12.12.2018,8751,ESS8e02_1,8,2.1,61,2.9083149433136,3.99999952316284,0.370392886,6,7,,4,4,1,2,,,,,,,,,2,3,1,6,6,66,6,2,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,,,,TR,2,,,,TR,,2006,,TUR,,GER,1,2,,,,TR,2,,,,TR
AT,ESS1-8e01,1.0,12.12.2018,8752,ESS8e02_1,8,2.1,62,1.8502984046936,1.19443213939667,0.370392886,10,4,,3,2,2,3,,,,,,,,,2,3,1,1,6,66,8,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8753,ESS8e02_1,8,2.1,63,1.13970506191254,2.22423100471497,0.370392886,3,6,,1,3,1,2,,,,,,,,,4,2,1,1,6,66,7,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8754,ESS8e02_1,8,2.1,64,1.38869667053223,2.15239119529724,0.370392886,9,4,,2,2,2,1,,,,,,,,,3,2,1,1,6,66,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8755,ESS8e02_1,8,2.1,65,0.636711180210114,0.649482488632202,0.370392886,8,5,,2,3,2,2,,,,,,,,,1,3,1,2,6,66,3,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,ENG,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8756,ESS8e02_1,8,2.1,66,0.748753547668457,0.56642746925354,0.370392886,8,5,,3,3,1,2,,,,,,,,,2,1,1,1,6,66,9,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8757,ESS8e02_1,8,2.1,67,1.16936540603638,0.813686013221741,0.370392886,8,6,,2,4,2,2,,,,,,,,,2,3,1,1,6,66,6,5,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8758,ESS8e02_1,8,2.1,68,0.88929295539856,0.49427855014801,0.370392886,8,4,,5,3,2,2,,,,,,,,,1,3,1,1,6,66,6,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8759,ESS8e02_1,8,2.1,71,0.889293015003204,0.608310461044312,0.370392886,7,2,,1,1,2,3,,,,,,,,,2,3,1,1,6,66,9,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8760,ESS8e02_1,8,2.1,72,0.866693615913391,1.37981402873993,0.370392886,8,6,,5,3,2,2,,,,,,,,,2,3,1,6,6,66,5,3,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,XK,2,,,,XK,,2007,,ALB,,GER,2,2,,,,XK,2,,,,XK
AT,ESS1-8e01,1.0,12.12.2018,8761,ESS8e02_1,8,2.1,74,1.17842984199524,0.810539543628693,0.370392886,9,7,,4,3,2,2,,,,,,,,,2,3,2,66,2,66,1,6,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,2,,,,NL
AT,ESS1-8e01,1.0,12.12.2018,8762,ESS8e02_1,8,2.1,75,0.56233686208725,1.65376651287079,0.370392886,7,6,,3,3,2,3,,,,,,,,,1,3,2,66,1,1,2,5,6,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8763,ESS8e02_1,8,2.1,76,0.622807681560516,0.483677089214325,0.370392886,9,6,,4,4,2,1,,,,,,,,,1,3,2,66,2,66,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8764,ESS8e02_1,8,2.1,79,0.826353311538696,0.638604402542114,0.370392886,7,4,,1,3,2,1,,,,,,,,,1,3,1,1,6,66,5,5,5,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,GER,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8765,ESS8e02_1,8,2.1,80,1.31487059593201,1.02113842964172,0.370392886,8,5,,4,3,2,1,,,,,,,,,1,3,1,1,6,66,2,5,88,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8766,ESS8e02_1,8,2.1,81,0.826353311538696,1.13806867599487,0.370392886,7,4,,3,2,2,1,,,,,,,,,2,3,1,1,6,66,8,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8767,ESS8e02_1,8,2.1,82,1.63976871967316,2.80287480354309,0.370392886,8,4,,4,8,2,2,,,,,,,,,2,3,1,1,6,66,8,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,,,,66,1,,,,66,,6666,,GER,,000,2,1,,,,66,1,,,,66
AT,ESS1-8e01,1.0,12.12.2018,8768,ESS8e02_1,8,2.1,83,1.10012555122375,2.07750487327576,0.370392886,8,6,,1,3,2,1,,,,,,,,,1,3,1,2,6,66,3,3,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,,,,IR,2,,,,IR,,1999,,GER,,PER,1,2,,,,IR,2,,,,IR
